county_code,total_sample_hh,avg_water_travel_time_mins,pct_informal_labour,avg_overcrowding_rate,avg_dwelling_quality_index,pct_adequate_dwelling,mean_predicted_burden,pct_top_decile_vulnerable,financial_stability_score,theta_CCR,theta_BCC,scale_efficiency,rts_category,slack_water_mins,slack_overcrowding,HAD,unit_cost_ksh,score_per_unit,allocated_units_mode_b,project_activated_mode_b,total_expenditure_mode_b_ksh
1,382,-0.4352926175473416,0.0964705882352941,1.0894117647058823,0.1134116249658404,0.7152941176470589,0.1833282431646306,0.14588235294117646,0.8166717568353694,0.76664244,0.85637673,0.8952163377909627,VRS (Scale-inefficient),0.0,0.0,0.2847058823529411,3291493.861702128,0.5166209116713041,100.0,True,329149386.1702128
2,422,-0.1084993309515043,0.2317073170731707,1.1341463414634143,-0.3565530807450856,0.4146341463414634,0.03344241908696885,0.11707317073170732,0.9665575809130311,0.79103368,0.7986042,0.9905203103114159,VRS (Scale-inefficient),0.0,0.0,0.5853658536585367,3291493.111702128,0.5075405428102525,100.0,True,329149311.1702128
3,462,-0.1704847076487408,0.1059907834101382,1.2419354838709675,-0.0905091280974058,0.5599078341013825,0.03356869796869797,0.052995391705069124,0.966431302031302,1.0,1.0,1.0,CRS (Constant Returns),0.0,0.0,0.4400921658986175,3291492.361702128,0.7383247082771593,326.0,True,1073026509.9148936
4,412,0.1567817340513147,0.0177777777777777,1.2777777777777777,0.3196752310845452,0.8022222222222222,0.018360086299892126,0.09555555555555556,0.9816399137001078,0.84408506,1.0,0.84408506,VRS (Scale-inefficient),0.0,0.0,0.1977777777777778,3291493.111702128,0.7032121772764277,100.0,True,329149311.1702128
5,391,-0.2572463088644733,0.0304709141274238,1.2880886426592797,-0.2884815370000245,0.4930747922437673,0.2159384484228474,0.1440443213296399,0.7840615515771526,0.88624831,0.97484375,0.9091183176791153,VRS (Scale-inefficient),0.0,0.0,0.5069252077562327,3291507.361702128,0.6192283483367147,100.0,True,329150736.1702128
6,406,0.1918874610510688,0.3012345679012346,1.2518518518518518,-0.4408696126892555,0.4296296296296296,0.0787942612942613,0.2641975308641975,0.9212057387057387,0.95496176,1.0,0.95496176,VRS (Scale-inefficient),0.0,0.0,0.5703703703703704,3291493.111702128,0.6829126414098232,100.0,True,329149311.1702128
7,468,-0.2074281610618871,0.0299145299145299,1.4658119658119655,0.2382043148077728,0.75,0.24184240083278546,0.014957264957264958,0.7581575991672145,1.0,1.0,1.0,CRS (Constant Returns),0.0,0.0,0.25,3291493.111702128,0.4912820309297804,100.0,True,329149311.1702128
8,422,-0.1966265876445255,0.0,0.9937205651491364,0.452840123922832,0.8414442700156985,0.11169257828006643,0.004709576138147566,0.8883074217199336,0.69512404,0.82504293,0.8425307517028237,VRS (Scale-inefficient),0.0,0.0,0.1585557299843014,3291489.361702128,0.4514127194260797,100.0,True,329148936.1702128
9,335,-0.0603135196359521,0.1988071570576541,1.4035785288270377,0.4230241464022387,0.8369781312127237,0.06658983288684782,0.08151093439363817,0.9334101671131522,0.91306849,0.91769266,0.9949610907861026,VRS (Scale-inefficient),0.0,0.0,0.1630218687872763,3291494.0117021278,0.47801084836694663,100.0,True,329149401.17021275
10,411,0.7780444309542921,0.0021645021645021,1.367965367965368,0.2834124973934671,0.696969696969697,0.07306569343065694,0.01948051948051948,0.9269343065693431,0.70573811,0.77257074,0.913493190280543,VRS (Scale-inefficient),0.0,0.0,0.303030303030303,3291492.361702128,0.29338818958887336,100.0,True,329149236.1702128
11,480,0.5737654204243903,0.1820895522388059,1.0149253731343284,0.1638182629660718,0.6716417910447762,0.09338363425925926,0.020895522388059702,0.9066163657407408,0.82327794,0.83984122,0.9802780816116645,VRS (Scale-inefficient),0.0,0.0,0.3283582089552238,3297151.861702128,0.7115612728291053,100.0,True,329715186.1702128
12,410,-0.1445656117435351,0.1432038834951456,1.0315533980582523,-0.0547523660029115,0.5121359223300971,0.07874998957681885,0.04854368932038835,0.9212500104231811,0.63983089,0.71161952,0.8991193636734418,VRS (Scale-inefficient),0.0,0.0,0.4878640776699029,3291493.111702128,0.3504239809044347,100.0,True,329149311.1702128
13,319,0.0320277227186045,0.2307692307692307,0.8725274725274725,-0.1658798874103159,0.4483516483516483,0.14565336977199045,0.07472527472527472,0.8543466302280096,1.0,1.0,1.0,CRS (Constant Returns),0.0,0.0,0.5516483516483517,3291489.361702128,0.6817411863671665,200.0,True,658297872.3404256
14,434,-0.1547500265817075,0.1970443349753694,1.0517241379310345,-0.3462267044186248,0.3645320197044335,0.07373232502264761,0.10098522167487685,0.9262676749773524,0.6787647,0.76926551,0.882354260234545,VRS (Scale-inefficient),0.0,0.0,0.6354679802955665,3291493.111702128,0.39012083429828004,100.0,True,329149311.1702128
15,450,0.843558825391752,0.268760907504363,0.9022687609075044,0.1722478073637671,0.6666666666666666,0.047923209876543214,0.08376963350785341,0.9520767901234568,0.97264703,1.0,0.97264703,VRS (Scale-inefficient),0.0,0.0,0.3333333333333333,3291489.361702128,0.7050588830851839,100.0,True,329148936.1702128
16,510,-0.0203007227250214,0.076051779935275,1.1893203883495145,-0.2867513083653166,0.4352750809061488,0.018646296296296296,0.019417475728155338,0.9813537037037037,0.91021097,1.0,0.91021097,VRS (Scale-inefficient),0.0,0.0,0.5647249190938513,3291493.111702128,0.5902112483023007,100.0,True,329149311.1702128
17,446,0.2843856489149818,0.4058679706601467,1.1051344743276283,0.0379717874432304,0.5550122249388753,0.034785146985550575,0.1466992665036675,0.9652148530144494,0.89297886,0.90770851,0.9837727091486672,VRS (Scale-inefficient),0.0,0.0,0.4449877750611247,3291493.111702128,0.5901965985923061,100.0,True,329149311.1702128
18,573,-0.1417871489282833,0.1073298429319371,1.149214659685864,-0.3323141867816374,0.4267015706806282,0.15991811876314493,0.14397905759162305,0.8400818812368551,0.75095552,0.91305537,0.8224643813222411,VRS (Scale-inefficient),0.0,0.0,0.5732984293193718,3291489.361702128,0.5852637707728783,100.0,True,329148936.1702128
19,410,-0.147418110876003,0.3110599078341013,1.237327188940092,-0.2420744471677355,0.4792626728110599,0.07932145924536169,0.10599078341013825,0.9206785407546383,0.83457423,0.83973853,0.9938501095096827,VRS (Scale-inefficient),0.0,0.0,0.5207373271889402,3291493.111702128,0.5893976917756975,100.0,True,329149311.1702128
20,445,-0.2097220558261176,0.2688888888888889,1.262222222222222,-0.3814459682460596,0.4022222222222222,0.10054860366849132,0.1288888888888889,0.8994513963315087,0.73581589,0.74495683,0.9877295708531191,VRS (Scale-inefficient),0.0,0.0,0.5977777777777777,3291493.111702128,0.6242531154139586,100.0,True,329149311.1702128
21,361,-0.1643635329409559,0.0535211267605633,1.1380281690140843,-0.3273125226189264,0.3859154929577464,0.03436316499751403,0.07887323943661972,0.965636835002486,1.0,1.0,1.0,CRS (Constant Returns),0.0,0.0,0.6140845070422536,3291490.111702128,0.7007928017958225,100.0,True,329149011.1702128
22,618,-0.2006544758365835,0.1253918495297805,1.0438871473354232,-0.319326584436458,0.4702194357366771,0.08165420573673002,0.11285266457680251,0.91834579426327,0.67604324,0.77641417,0.8707250152325273,VRS (Scale-inefficient),0.0,0.0,0.5297805642633229,3291822.961702128,0.3444263016267301,100.0,True,329182296.1702128
23,409,0.5968698667614687,0.0407608695652173,0.904891304347826,0.5187363000336113,0.8885869565217391,0.07597218147242597,0.08695652173913043,0.924027818527574,0.7143994,0.74544896,0.9583478391330775,VRS (Scale-inefficient),0.0,0.0,0.1114130434782608,3291740.461702128,0.601848203600344,100.0,True,329174046.1702128
24,503,0.1030630233359601,0.3017408123791102,1.551257253384913,0.3224856957379857,0.7872340425531915,0.031243605036447977,0.05609284332688588,0.968756394963552,0.83648504,1.0,0.83648504,VRS (Scale-inefficient),0.0,0.0,0.2127659574468084,3291494.611702128,0.41299656183765,100.0,True,329149461.1702128
25,462,0.845120389978584,0.1757322175732217,0.997907949790795,0.176641217953173,0.6569037656903766,0.13564518278018278,0.13598326359832635,0.8643548172198172,0.61869018,0.72165207,0.857324749307516,VRS (Scale-inefficient),0.0,0.0,0.3430962343096234,3291489.361702128,0.16156683394274157,100.0,True,329148936.1702128
26,412,-0.1685825634244109,0.1072386058981233,1.1152815013404829,0.0504888830035149,0.5978552278820375,0.12233198904655215,0.13672922252010725,0.8776680109534478,0.7472229,0.9284897,0.8047724169691921,VRS (Scale-inefficient),0.0,0.0,0.4021447721179625,3291493.111702128,0.4214556620217019,100.0,True,329149311.1702128
27,403,-0.3268017282167192,0.2436781609195402,1.1402298850574712,0.0993392392160439,0.5816091954022988,0.06657843948166528,0.12643678160919541,0.9334215605183347,1.0,1.0,1.0,CRS (Constant Returns),0.0,0.0,0.4183908045977011,3291909.211702128,0.8241225181030698,202.0,True,664965660.7638298
